start_time,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Mg/Si,Ca/Si,Al/Si_uncer,Mg/Si_uncer,Ca/Si_uncer
20200101T001016,-66.0697,-71.7827,-71.7327,-66.0307,-67.3403,-67.6379,-65.4442,-64.8326,0.0,2.0025705726970537,0.0,-1.0,0.00044176001452539144,-1.0
20200101T001152,-70.9463,-76.6528,-76.5861,-70.8984,-66.6515,-67.15,-64.4247,-63.384,1.116567878377462,0.0,0.0,0.004797974001168396,-1.0,-1.0
20200101T001328,-75.8282,-81.5251,-81.4224,-75.7653,-65.2886,-66.3104,-62.6488,-60.4997,0.0,1.423653913767788,0.0,-1.0,0.016791051910580206,-1.0
20200101T001504,-80.7133,-86.378,-86.1476,-80.6195,-61.1988,-64.4805,-58.7724,-52.0211,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T001640,-85.5869,-89.3099,-89.3156,-85.3959,41.2613,-57.1663,-44.1318,63.1783,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T001816,-83.5887,-89.13,-88.8285,-83.7207,97.6542,53.9171,75.5162,104.613,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T001952,-78.7509,-84.345,-84.495,-78.8249,103.406,95.851,103.724,107.342,0.0,1.5661757232031386,0.0,-1.0,0.0041767566226716376,-1.0
20200101T002128,-73.861,-79.5124,-79.5917,-73.912,105.697,102.86,107.075,108.422,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T002304,-68.9499,-74.6153,-74.6688,-68.9888,106.928,105.441,108.294,109.007,0.9522097623520639,0.0,0.0,0.017303622445370023,-1.0,-1.0
20200101T002440,-64.0259,-69.6951,-69.7354,-64.0574,107.698,106.78,108.931,109.381,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T002616,-59.0919,-64.7618,-64.7941,-59.1184,108.226,107.601,109.329,109.643,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T002752,-54.1498,-59.8187,-59.8458,-54.1727,108.613,108.159,109.605,109.84,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T002928,-49.2002,-54.8679,-54.8912,-49.2205,108.91,108.563,109.811,109.998,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T003104,-44.2443,-49.9103,-49.9308,-44.2626,109.147,108.871,109.974,110.128,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T003240,-39.2827,-44.9469,-44.9654,-39.2995,109.34,109.115,110.108,110.24,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T003416,-34.3161,-39.9786,-39.9955,-34.3316,109.503,109.314,110.222,110.339,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T003552,-29.3447,-35.0061,-35.0218,-29.3594,109.642,109.48,110.323,110.428,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T003728,-24.3698,-30.0298,-30.0446,-24.3838,109.764,109.623,110.414,110.512,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T003904,-19.3916,-25.0508,-25.0649,-19.4051,109.872,109.747,110.498,110.591,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T004040,-14.411,-20.0695,-20.083,-14.4241,109.97,109.856,110.578,110.668,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T004216,-9.4285,-15.0868,-15.0998,-9.4413,110.06,109.955,110.655,110.744,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T004352,-4.4448,-10.103,-10.1158,-4.4575,110.144,110.046,110.731,110.821,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T004528,0.5392,-5.1191,-5.1318,0.5265,110.224,110.131,110.808,110.899,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T004704,5.5229,-0.1358,-0.1485,5.5102,110.301,110.211,110.886,110.981,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T004840,10.5056,4.8462,4.8335,10.4926,110.377,110.289,110.968,111.068,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T005016,15.4866,9.8262,9.8133,15.4733,110.452,110.364,111.053,111.161,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T005152,20.4654,14.8036,14.7904,20.4515,110.529,110.439,111.146,111.263,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T005328,25.4412,19.7778,19.764,25.4267,110.608,110.516,111.246,111.376,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T005504,30.4135,24.7482,24.7338,30.3982,110.692,110.595,111.357,111.504,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T005640,35.3816,29.7142,29.699,35.3653,110.784,110.678,111.483,111.65,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T005816,40.3451,34.6752,34.659,40.3274,110.884,110.768,111.626,111.822,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T005952,45.3034,39.6308,39.6133,45.284,110.999,110.867,111.794,112.027,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T010128,50.2558,44.5806,44.5614,50.2342,111.134,110.979,111.993,112.279,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200101T010304,55.202,49.5239,49.5026,55.1774,111.299,111.11,112.237,112.598,0.0,0.0,0.0,-1.0,-1.0,-1.0
